county_fips,county_name,type,total_2012,obama,romney,total_2016,clinton,trump,r_d_change,median_age,prop_white,prop_college,Winner
48127,Dimmit,County,2917,2141,762,3225,2173,974,0.10096302615249286,34,0.135,0.105,Clinton
48129,Donley,County,1535,226,1287,1465,191,1225,0.01459683605518558,40.9,0.821,0.165,Trump
48131,Duval,County,4344,3331,980,4168,2783,1316,0.1892388910686702,37.3,0.09,0.08900000000000001,Clinton
48133,Eastland,County,6495,970,5444,6963,776,6011,0.06299353992183698,42.5,0.802,0.146,Trump
48135,Ector,County,32513,8118,24010,36530,10249,25020,-0.08443651282985304,30.4,0.35700000000000004,0.152,Trump
48137,Edwards,County,884,232,642,1073,303,746,-0.05093976797830757,49.2,0.456,0.24,Trump
48139,Ellis,County,54151,13881,39574,63673,16253,44941,-0.023917499556084187,35.9,0.634,0.21899999999999997,Trump
48141,El Paso,County,172412,112952,57150,214008,147843,55512,-0.1077821765250811,31.6,0.129,0.217,Clinton
48143,Erath,County,12473,1965,10329,13893,2160,11210,-0.019161244330365035,30.2,0.759,0.282,Trump
48145,Falls,County,5434,2033,3356,5248,1684,3441,0.09132714806054021,39.3,0.517,0.11900000000000001,Trump
48147,Fannin,County,10804,2486,8161,12044,2132,9548,0.09047385920881734,41.7,0.797,0.156,Trump
48149,Fayette,County,10551,2315,8106,11174,2144,8743,0.04170946042216528,47.7,0.7240000000000001,0.171,Trump
48151,Fisher,County,1629,512,1094,1729,403,1265,0.14127967602814945,43.4,0.643,0.184,Trump
48153,Floyd,County,2085,551,1523,1959,435,1474,0.06418558874187014,37,0.387,0.16399999999999998,Trump
48155,Foard,County,495,140,348,513,113,383,0.106113769271664,49.5,0.8170000000000001,0.16,Trump
48157,Fort Bend,County,219489,101144,116126,262066,134686,117291,-0.13463495498256628,35.7,0.349,0.446,Clinton
48159,Franklin,County,4257,751,3446,4380,665,3585,0.03359173126614978,43.3,0.7979999999999999,0.19,Trump
48161,Freestone,County,7570,1850,5646,7684,1471,6026,0.09133710907119186,41.4,0.6779999999999999,0.115,Trump
48163,Frio,County,3968,2376,1559,4400,2444,1856,0.0722608137829912,31.6,0.168,0.073,Clinton
48165,Gaines,County,4066,535,3484,4620,597,3907,-0.008832616801136228,28.4,0.57,0.105,Trump
48167,Galveston,County,110078,39511,69059,122903,43658,73757,-0.023527392127285857,37.5,0.583,0.289,Trump
48169,Garza,County,1560,279,1263,1484,230,1225,0.03971594443292559,37.9,0.40399999999999997,0.08800000000000001,Trump
48171,Gillespie,County,12550,2055,10306,13214,2288,10446,-0.04007468838133166,50.1,0.763,0.341,Trump
48173,Glasscock,County,578,44,526,604,34,553,0.025361488576731817,37.4,0.627,0.252,Trump
48175,Goliad,County,3458,1127,2294,3708,973,2620,0.10669644611903173,45.7,0.588,0.16,Trump
48177,Gonzales,County,6057,1777,4216,6334,1571,4587,0.0734858127861101,37.3,0.428,0.13699999999999998,Trump
48179,Gray,County,7389,886,6443,7405,701,6500,0.03105563510333309,36.8,0.65,0.136,Trump
48181,Grayson,County,42264,10670,30936,47416,10301,35325,0.04824459627595401,40.2,0.769,0.20199999999999999,Trump
48183,Gregg,County,41507,12398,28742,41749,11677,28764,0.015514357049892624,35.2,0.589,0.207,Trump
48185,Grimes,County,8601,2339,6141,9533,2194,7065,0.06892029867843036,40.4,0.5920000000000001,0.132,Trump
48187,Guadalupe,County,49514,15744,33117,57822,18391,36632,-0.03540229997213812,36.7,0.521,0.265,Trump
48189,Hale,County,8854,2243,6490,8858,2101,6366,0.0018154571209948456,32.7,0.35100000000000003,0.158,Trump
48191,Hall,County,1109,265,832,1091,164,893,0.15692290145042775,44.2,0.574,0.125,Trump
48193,Hamilton,County,3552,591,2918,3620,479,3060,0.05785955154049083,48.3,0.858,0.215,Trump
48195,Hansford,County,1962,159,1788,1947,171,1730,-0.029556174401455082,35.7,0.534,0.20800000000000002,Trump
48197,Hardeman,County,1495,302,1176,1513,249,1207,0.04856372972698153,43.3,0.665,0.135,Trump
48199,Hardin,County,21297,3359,17746,22780,2780,19606,0.06308922149277807,39.1,0.872,0.161,Trump
48201,Harris,County,1188585,587044,586073,1312112,707914,545955,-0.12261688493508151,32.9,0.312,0.301,Clinton
48203,Harrison,County,26170,8456,17512,26548,7151,18749,0.09082397755222815,37.7,0.642,0.177,Trump
48205,Hartley,County,1913,184,1708,1952,173,1730,9.889732031912457e-4,39.5,0.628,0.201,Trump
48207,Haskell,County,2013,553,1424,1770,314,1403,0.18256670623994875,42.7,0.6709999999999999,0.135,Trump
48209,Hays,County,59011,25537,31661,72164,33224,33826,-0.09543515222727643,31.1,0.562,0.363,Trump
48211,Hemphill,County,1509,192,1298,1695,181,1462,0.02281649337016245,33.4,0.616,0.23199999999999998,Trump
48213,Henderson,County,27627,6106,21231,30045,5669,23650,0.050997286963101573,43.7,0.7929999999999999,0.175,Trump
48215,Hidalgo,County,139159,97969,39865,173437,118809,48642,0.012969121673341633,28.8,0.069,0.174,Clinton
48217,Hill,County,12045,2752,9132,12970,2547,10108,0.05328031319201676,42.5,0.7190000000000001,0.16,Trump
48219,Hockley,County,7134,1486,5546,7311,1260,5809,0.053107412485696504,33,0.48,0.147,Trump
48221,Hood,County,22535,3843,18409,26262,4008,21382,0.015191927560639473,46.8,0.853,0.258,Trump
48223,Hopkins,County,12753,2777,9836,13538,2510,10707,0.051964049094111786,39.2,0.7440000000000001,0.171,Trump
48225,Houston,County,8214,2265,5880,8353,1978,6205,0.06594346764572057,44.5,0.621,0.145,Trump
48227,Howard,County,8695,2110,6453,8723,1770,6637,0.058467785290247765,36.9,0.508,0.126,Trump
48229,Hudspeth,County,863,379,471,871,324,503,0.09890604025952775,40.1,0.188,0.075,Trump
48231,Hunt,County,28049,6671,21011,31554,6396,23910,0.043800315465375106,38.1,0.7340000000000001,0.17300000000000001,Trump
48233,Hutchinson,County,7928,1045,6804,8155,854,7042,0.032385568831933775,36.5,0.7170000000000001,0.153,Trump
48235,Irion,County,788,112,668,766,90,660,0.038541570025579563,42.5,0.742,0.157,Trump
48237,Jack,County,2908,303,2580,3350,314,2973,0.010718963641216162,40,0.784,0.10800000000000001,Trump
48239,Jackson,County,5025,1070,3906,5302,904,4266,0.06972223004179401,38.5,0.6,0.17300000000000001,Trump
48241,Jasper,County,13517,3423,9957,13419,2590,10609,0.11419422803001333,40.4,0.746,0.106,Trump
48243,Jeff Davis,County,1192,440,719,1191,422,695,-0.004841259107737583,51.9,0.621,0.384,Trump
48245,Jefferson,County,88627,44668,43242,87618,42443,42862,0.020872027277201038,36,0.423,0.188,Trump
48247,Jim Hogg,County,1667,1301,356,2119,1635,430,-0.0017778416945209985,36,0.09699999999999999,0.111,Clinton
